守护解放西2,3122.7万,57.3万,117.6万,2506155
来者何人,1559.7万,11.7万,25.2万,527739
守护解放西,5491.5万,102.5万,105.4万,327308
科学恶作剧,260.8万,2023,6万,158477
冒险雷探长,3539.2万,87.8万,41.1万,70627
这就是中国,3414.6万,7.8万,70.6万,64022
天赋异禀,57.4万,3215,3.1万,63910
荒野求生全明星 第三季,6.5万,334,2815,43647
派出所的故事2019,5130.8万,85.9万,90.7万,37895
我住在这里的理由 第三季,357.6万,3.9万,4.2万,37681
原始生活21天 第四季,643万,6.9万,7.1万,36674
尸检报告 第四季,18.6万,193,9321,34891
单挑荒野 第二季,1617.7万,18.8万,16.9万,30752
案藏玄机,36.9万,3256,2万,28398
舌尖上的中国 第一季,2181万,7.9万,45.9万,28164
大儒朱熹,7.8万,165,4124,27931
兵器科技,190.9万,962,3.6万,26851
百家讲坛之易中天品三国,1617.5万,40.8万,49.2万,26839
原始生活40天 第三季,596.4万,7.5万,7万,26584
人生一串 第二季,1亿,106.5万,237.7万,26549
单挑荒野 第一季,2167.4万,22.4万,31.6万,23267
百家讲坛之王立群读《史记》秦始皇,400.4万,10.1万,8.4万,22177
今日说法,1475.7万,1.8万,23.6万,21970
人生一串,8279.8万,136.2万,171万,21210
舌尖上的中国 第二季,853万,10.4万,19.6万,19674
荒岛余生,1902.5万,26.8万,61.2万,19514
宠物医院,3437.9万,37.2万,83.2万,18443
小城夜食记,714.6万,9.8万,1.1万,17071
荒野求生全明星 第一季,91.4万,4080,3.5万,17013
航拍中国 第三季,1471万,31.3万,70.6万,16847
黑市大企业 第一季,1.7万,204,2946,16596
决胜荒野之华夏秘境,4918.6万,43.9万,190.6万,16391
北斗,10.8万,728,7074,16238
伟大的制造,408.1万,6.2万,11万,15935
荒野求生 第一季,1596.5万,28.9万,48.4万,14991
巡逻现场实录2018,2111万,50.6万,43.9万,14896
亚当的超狂工作室,822.4万,3万,25万,14362
小主安康－宠物医院2,2837.2万,35.6万,97万,14301
我和我的家乡 电影幕后纪实节目,1961.6万,6.3万,16.6万,13725
认识特朗普家族：从移民到总统,249.3万,5734,5.9万,13425
人生第一次,1557.3万,25.8万,40.5万,13423
爱情与色欲,155.7万,1777,8.3万,13310
体内怪物 第八季,552.6万,5万,45.1万,13057
决胜荒野,3952.4万,37.3万,90.4万,12687
塞西尔酒店恐怖故事,371.5万,4万,20.5万,12338
动物农场2020,423.7万,3.4万,22.4万,12335
荒野求生 第二季,1399.8万,20.6万,40.5万,12122
单挑荒野绝境,1236.5万,11.6万,21.9万,11966
主机战争,13.9万,815,1万,11359
格拉汉姆·诺顿秀 第二十二季,19.2万,440,7867,11292
荒岛余生：德爷全家挨饿记,474.1万,3.4万,11万,11250
历史那些事 第二季,2078.6万,22.2万,122.7万,11243
我们:《夺冠》幕后纪实,375.6万,1.6万,8.4万,11103
宇宙时空之旅：未知世界,1186.1万,5.9万,73.7万,11097
舌尖上的中国 第三季,189.3万,1.2万,4.4万,10674
巴尔干半岛,127.9万,1.2万,9256,10609
为了和平,60.2万,0,1.8万,10300
我住在这里的理由 第二季,2682.8万,28.2万,14.1万,9651
全球食品,95.5万,3981,7.1万,9623
改变历史的女性,69.8万,8072,9.3万,9490
万物滋养 第二季,816.5万,2.9万,20.3万,9356
航拍中国 第一季,210.7万,3.4万,75.7万,9306
生者为王 ,7.8万,219,5008,9114
荒野求生 第四季,1274.9万,13.2万,18.1万,9018
历史那些事,2878.2万,45.9万,144.7万,8982
如果国宝会说话 第三季,499.4万,2.9万,16.5万,8920
我住在这里的理由 第一季,2471.1万,35.9万,11.3万,8907
蓝色星球,373.8万,5.1万,26.3万,8753
超级工程3：纵横中国,551.6万,13.3万,22.7万,8612
生命时速·紧急救护120,490.9万,8.4万,11.6万,8520
小海鲜,146.3万,1.1万,6.6万,8499
无影灯下,2124.9万,16.6万,85.1万,8488
迷失的传说 第一季 ,19.9万,383,8782,8443
航拍中国 第二季,1336.9万,32.1万,55万,7980
荒野求生 第三季,1433万,14.9万,30.3万,7964
大抗战,162.3万,35,4.3万,7699
天启：希特勒的崛起,124.2万,1.6万,7.3万,7590
荒野求生：印度总理莫迪特辑,1072.1万,2.3万,95.2万,7447
美国荒野的季节,6.7万,436,3152,7435
地球脉动,619.9万,11.3万,39.7万,7412
河西走廊,622.7万,13.4万,34.8万,7402
奢侈的一小半 第一季,77.3万,6812,5万,7184
如果国宝会说话 第二季,1178.4万,3.6万,39.5万,7170
希特勒的最后一战,25.9万,552,2.1万,7129
如果国宝会说话 第一季,812.8万,9.5万,40.9万,6990
天启：第二次世界大战,303.5万,3.1万,14.3万,6907
同性恋的禁地,20.4万,2572,5302,6589
生活如沸,2186.8万,12.3万,60.1万,6462
百家讲坛之刘心武揭秘红楼梦,263.1万,7万,6.5万,6217
百家讲坛之大风歌,251.2万,7万,5.4万,6021
从秦始皇到汉武帝,303.9万,6.9万,20.3万,5989
法医密档,316.6万,2.3万,15.4万,5973
但是还有书籍,1021.4万,7.4万,67.4万,5830
螃蟹的征途,396万,3.1万,15.6万,5821
高糖VS高脂肪,63.6万,4240,3.4万,5751
嗨，大学！,727.8万,4.3万,13.1万,5735
水果传,744.8万,12.3万,30.7万,5580
军武大本营 第三季,985.5万,15.1万,4.3万,5492
小动物狠角色,197万,6813,8.7万,5399
印度全球最大的校园午餐,116.6万,4450,1.2万,5366
